folder,file,out_file,img_w_px,img_h_px,px_per_m_x,px_per_m_y,px_per_m_used,crop_side_px_requested,crop_side_px_used,approx_ground_side_m,height_m,focal_mm_default,focal_mm_used,sensor_w_mm,sensor_h_mm
Camera 5,DSCN8144.JPG,DSCN8144_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8145.JPG,DSCN8145_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8146.JPG,DSCN8146_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8147.JPG,DSCN8147_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8148.JPG,DSCN8148_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8149.JPG,DSCN8149_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8150.JPG,DSCN8150_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8151.JPG,DSCN8151_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8152.JPG,DSCN8152_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8153.JPG,DSCN8153_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8154.JPG,DSCN8154_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8155.JPG,DSCN8155_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
