lat,lon,ele_m,time,x_east_m,y_north_m,r_radial_m
43.325092,-116.414421,891.4,2025-09-19 18:05:20+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:21+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:22+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:23+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:24+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:25+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:26+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:27+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:28+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:29+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:30+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:31+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:32+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:33+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:34+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:35+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.4,2025-09-19 18:05:36+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:37+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:38+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:39+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:40+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:41+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:42+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:43+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:44+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:45+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:46+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:47+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:48+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:49+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:50+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:51+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:52+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:53+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:54+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:55+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:56+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:57+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:05:58+00:00,0.0,0.0,0.0
